"filename", "language", "Batch", "Markdown", "CMake Cache", "JSON", "CMake", "Makefile", "Ini", "XML", "Log", "Python", "C++", "C", "HTML", "comment", "blank", "total"
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\wxgui\wx_bind_list.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 208, 0, 0, 10, 39, 257
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\wxgui\wx_config_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 4, 12, 56
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\wxgui\wx_options.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 245, 0, 0, 18, 61, 324
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\wxgui\wx_prop_dlg.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 14, 71
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\wxgui\wx_settings.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 220, 0, 0, 9, 50, 279
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\wxgui\wx_shortcut_apps.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 7, 47, 193
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\wxgui\wx_system_tray.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 12, 60
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\wxgui\wxgui.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 7, 16, 79
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\wxFromBuilder\noname.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 7, 26, 62
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\wxFromBuilder\noname.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 10, 12, 45
"Total", "-", 98, 79, 1710, 4582, 2369, 3103, 56, 145, 2765, 32, 9657, 1590, 8332, 1562, 7433, 43513
